ON_STATION,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
1,0,0.2635416666666667,0.23751286008230454,0.35138888888888886,0.37416409465020567,0.680002572016461,0.8459362139917695,0.48153292181069957,0.2537808641975308,0.3448816872427984,0.33837448559670785,0.49780092592592595,0.28631687242798354,0.182201646090535,0.15617283950617283,0.133397633744856,0.08784722222222222,0.055311213991769546,0.04555041152263375,0.07483281893004115,0.055311213991769546,0.04555041152263375,0.022775205761316874,0.04880401234567901,0.022775205761316874,0.032536008230452676,0.026028806584362144,0.032536008230452676,0.022775205761316874,0.009760802469135802,0.022775205761316874,0.016268004115226338,0.013014403292181072,0.029282407407407406
2,0,0,0.182896379525593,0.16460674157303373,0.18086419753086422,0.26418365931474547,0.5527535025662366,0.1991538354834235,0.11583437369954222,0.10364128173116938,0.08331946178388126,0.07519073380496602,0.06706200582605078,0.024386183936745735,0.024386183936745735,0.008128727978915245,0.02032181994728811,0.012193091968372868,0.012193091968372868,0,0.01422527396310168,0.004064363989457622,0.006096545984186434,0.002032181994728811,0.004064363989457622,0.004064363989457622,0.004064363989457622,0.004064363989457622,0.004064363989457622,0,0.010160909973644055,0.008128727978915245,0.004064363989457622,0.010160909973644055
3,0,0,0,0.12104899930986887,0.12508396595353116,0.14525879917184265,0.27841269841269844,0.17955601564297216,0.12508396595353116,0.10692661605705082,0.08675178283873936,0.09885668276972624,0.08271681619507706,0.02824476650563607,0.05447204968944099,0.02824476650563607,0.030262249827467218,0.008069933287324593,0.008069933287324593,0.008069933287324593,0.038332183114791814,0.012104899930986889,0.008069933287324593,0.01008741660915574,0.008069933287324593,0.002017483321831148,0.002017483321831148,0.012104899930986889,0.012104899930986889,0.002017483321831148,0.002017483321831148,0,0,0
4,0,0,0,0,0.115625,0.1665783898305085,0.36451271186440676,0.18225635593220338,0.13914194915254238,0.14110169491525423,0.13522245762711865,0.16069915254237285,0.10582627118644067,0.05683262711864407,0.06859110169491525,0.04703389830508475,0.03527542372881356,0.013718220338983051,0.011758474576271187,0.007838983050847457,0.011758474576271187,0.015677966101694914,0.007838983050847457,0.003919491525423729,0.003919491525423729,0.01763771186440678,0.003919491525423729,0.0019597457627118643,0.003919491525423729,0.003919491525423729,0.007838983050847457,0.003919491525423729,0.003919491525423729,0.007838983050847457
5,0,0,0,0,0,0.09409663470577176,0.10692799398383154,0.13686783229930438,0.1240364730212446,0.05774111675126903,0.029939838315472832,0.05346399699191577,0.0620182365106223,0.01924703891708968,0.02138559879676631,0.02352415867644294,0.014969919157736416,0.014969919157736416,0.006415679639029893,0.006415679639029893,0.014969919157736416,0.002138559879676631,0.006415679639029893,0.004277119759353262,0.006415679639029893,0.008554239518706524,0.004277119759353262,0,0.004277119759353262,0.004277119759353262,0,0.006415679639029893,0.002138559879676631,0.006415679639029893
6,0,0,0,0,0,0,0.17119491754528252,0.1671668018383347,0.14299810759664774,0.12285752906190862,0.12285752906190862,0.12084347120843474,0.09063260340632602,0.07653419843200865,0.06243579345769126,0.06243579345769126,0.068477967018113,0.030210867802108684,0.06444985131116517,0.03222492565558258,0.05639361989726953,0.03625304136253041,0.03222492565558258,0.028196809948634764,0.01611246282779129,0.030210867802108684,0.020140578534739117,0.014098404974317382,0.02215463638821303,0.004028115706947823,0.014098404974317382,0.020140578534739117,0.01611246282779129,0.010070289267369558
7,0,0,0,0,0,0,0,0.2105744018354638,0.1635529334644379,0.14719764011799408,0.16764175680104884,0.1860414618157981,0.14719764011799408,0.08586529006882988,0.10630940675188463,0.05724352671255326,0.05111029170763684,0.04088823336610947,0.02657735168797116,0.055199115044247786,0.04906588003933136,0.04906588003933136,0.04293264503441494,0.03679941002949852,0.038843821697804,0.02657735168797116,0.01839970501474926,0.022488528351360212,0.038843821697804,0.022488528351360212,0.022488528351360212,0.014310881678138316,0.008177646673221895,0.01226647000983284
8,0,0,0,0,0,0,0,0,0.429071112239429,0.41287974951341294,0.32180333417957185,0.5646737750698148,0.4837169614397337,0.2712053256607712,0.2145355561197145,0.2206073171419706,0.23072691884573074,0.10524385771910523,0.13965050351188965,0.11738737976361739,0.22870299850497872,0.23477475952723478,0.1254830611266255,0.19632027305294633,0.1011960170376012,0.1781049899861781,0.11941130010436941,0.07690897294857692,0.11738737976361739,0.058693689881808696,0.14572226453414572,0.085004654311585,0.07690897294857692,0.058693689881808696
9,0,0,0,0,0,0,0,0,0,0.20871323340029876,0.15598567969917065,0.2131071962087261,0.16916756812445266,0.10106114459382888,0.08128831195590583,0.05492453510534178,0.04613660948848709,0.04174264668005975,0.04174264668005975,0.05492453510534178,0.04613660948848709,0.07469736774326483,0.03954566527584608,0.04174264668005975,0.03954566527584608,0.04613660948848709,0.006590944212641014,0.013181888425282028,0.026363776850564055,0.006590944212641014,0.026363776850564055,0.024166795446350385,0.006590944212641014,0.013181888425282028
10,0,0,0,0,0,0,0,0,0,0,0.21445002360413715,0.2585425518218102,0.1503154371057036,0.1082271147161066,0.1082271147161066,0.09018926226342217,0.06213038067035749,0.0501051457019012,0.040084116561520965,0.07215140981073773,0.1042187030599545,0.0501051457019012,0.046096734045749106,0.046096734045749106,0.028058881593064675,0.06213038067035749,0.024050469936912577,0.03206729324921677,0.03206729324921677,0.012025234968456288,0.06613879232650959,0.020042058280760482,0.028058881593064675,0.024050469936912577
11,0,0,0,0,0,0,0,0,0,0,0,0.5473981974870075,0.18384316821261756,0.12393921452536018,0.1693835931846589,0.15079271100585487,0.0888231037431748,0.05990395368725742,0.08675745016775212,0.0826261430169068,0.09915137162028814,0.11154529307282417,0.05164133938556674,0.05783830011183475,0.030984803631340044,0.07023222156437076,0.07023222156437076,0.07229787513979344,0.05990395368725742,0.03511611078218538,0.06816656798894809,0.04337872508387606,0.0268534964804947,0.03511611078218538
12,0,0,0,0,0,0,0,0,0,0,0,0,0.13232662192393735,0.04410887397464579,0.1449291573452647,0.06931394481730052,0.08611732537907035,0.07771563509818544,0.09871986080039771,0.10082028337061893,0.10292070594084017,0.09241859308973405,0.06511309967685806,0.06931394481730052,0.03570718369376087,0.08191648023862788,0.06301267710663684,0.03360676112353965,0.07771563509818544,0.03570718369376087,0.05671140939597316,0.03360676112353965,0.027305493412875963,0.03570718369376087
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1261196581196581,0.0772991452991453,0.06916239316239316,0.03458119658119658,0.058991452991452996,0.044752136752136754,0.06305982905982906,0.10577777777777778,0.11594871794871794,0.07119658119658119,0.06509401709401709,0.032547008547008545,0.058991452991452996,0.06712820512820514,0.044752136752136754,0.06305982905982906,0.028478632478632478,0.061025641025641036,0.046786324786324794,0.032547008547008545,0.05492307692307692
